web-scraper-order,web-scraper-start-url,containers_link,containers_link-href,Nombre_de_pieces,Nombre_salles_bain,Superficie,Adresse
"1752397313-13","https://sn.coinafrique.com/categorie/villas","2 500 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-fann-5410656","6","4","12","Fann, Dakar, Sénégal"
"1752397332-14","https://sn.coinafrique.com/categorie/villas","2 300 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-fann-5416213","","","","Fann, Dakar, Sénégal"
"1752397343-15","https://sn.coinafrique.com/categorie/villas","250 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-a-sipres-gand-mbao-5416279","","","","Mbao, Dakar, Sénégal"
"1752397359-16","https://sn.coinafrique.com/categorie/villas","1 100 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-r2-hann-marinas-5396016","7","5","180 m2","Hann Bel-Air, Dakar, Sénégal"
"1752397374-17","https://sn.coinafrique.com/categorie/villas","55 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-titre-foncier-non-loin-de-tol-abdoulaye-wade-5410962","5","1","200 m2","Keur Massar, Sénégal"
"1752397395-18","https://sn.coinafrique.com/categorie/villas","37 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-maison-a-keur-mbaye-fall-5410992","6","2","165 m2","Mbao, Dakar, Sénégal"
"1752397412-19","https://sn.coinafrique.com/categorie/villas","2 000 000CFA","https://sn.coinafrique.com/annonce/villas/location-villas-08-pieces-point-e-5411028","8","5","","Point E, Dakar, Sénégal"
"1752397427-20","https://sn.coinafrique.com/categorie/villas","600 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-ngor-5416608","7","7","","Ngor, Dakar, Sénégal"
"1752397437-21","https://sn.coinafrique.com/categorie/villas","57 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-a-keur-massar-5411113","10","4","153 m2","Keur Massar, Sénégal"
"1752397447-22","https://sn.coinafrique.com/categorie/villas","130 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-maison-a-demolir-dangle-sicap-karack-dakar-5400507","200 m2","","","Dakar, Sénégal"
"1752397464-23","https://sn.coinafrique.com/categorie/villas","140 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-amitie-3-5369689","150","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752397483-24","https://sn.coinafrique.com/categorie/villas","2 500 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-r1-a-almadies-5382500","5","3","","Almadies, Dakar, Sénégal"
